City,Hotel name,Url,Image,Address,Number reviews,Price,Rating,Location Rating,Facilities,Checkin,Checkout
Hà Nội,La Casona Hotel,"https://www.agoda.com/vi-vn/la-casona-hotel-h31249906/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/31249906/-1/a6657521490bfe1299dc713e0e4dc270.jpg?ce=0&s=1024x768,"9 Hưng Gia 3, La Casona Hotel, Quận 7, Hồ Chí Minh, Việt Nam, 70000",29 bài đánh giá,453798,"9,3","9,1","['Sạch bóng', 'Đáng tiền nhất', 'Nhận phòng [24 giờ]', 'Chất lượng và tiện nghi phòng tuyệt vời', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bãi để xe', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Giữ hành lý', 'Nhận/trả phòng [riêng]', 'Dịch vụ phòng [24 giờ]', 'Dịch vụ giặt là', 'Dịch vụ phòng']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,Hotel Continental Saigon,"https://www.agoda.com/vi-vn/hotel-continental-saigon/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=2,16&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/109/10972/10972_14012411520018144641.jpg?ca=2&ce=1&s=1024x768,"132-134 Đồng Khởi, Quận 1, Quận 1, Hồ Chí Minh, Việt Nam,",4.079 bài đánh giá,1582376,"8,2","9,4","['Nằm ở trung tâm Hồ Chí Minh', 'Nhận phòng [24 giờ]', 'Đưa đón sân bay', 'Bữa sáng tuyệt vời', 'Quang cảnh tuyệt vời', 'Đưa đón sân bay', 'Thuê xe đạp', 'Dịch vụ đưa đón', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Giữ hành lý']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,The Bloom Phạm Viết Chánh (The Bloom Pham Viet Chanh),"https://www.agoda.com/vi-vn/the-bloom-pham-viet-chanh/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/9864727/-1/7abce9a40fb0a94f4a4001bbd0bcfb1d.jpg?ca=17&ce=1&s=1024x768,"No. 40/08/03 Pham Viet Chanh Street, Ward 19, Binh Thanh District, HCMC, Bình Thạnh, Hồ Chí Minh, Việt Nam, 70000",353 bài đánh giá,961759,9,"8,7","['Sạch bóng', 'Nhận phòng [24 giờ]', 'Chất lượng và tiện nghi phòng tuyệt vời', 'Đưa đón sân bay', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Đưa đón sân bay', 'Bãi để xe', 'Dịch vụ đưa đón', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bồn tắm nước nóng', 'Phòng tập']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,RedDoorz Plus gần Phố Đi Bộ Nguyễn Huệ (RedDoorz Plus near Nguyen Hue Walking Street),"https://www.agoda.com/vi-vn/reddoorz-plus-near-nguyen-hue-walking-street/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=6,16&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/575/5750585/5750585_18082911300067721073.jpg?ca=0&ce=1&s=1024x768,"15/1B Doan Nhu Hai, District 4, Ho Chi Minh city, Vietnam, Quận 4, Hồ Chí Minh, Việt Nam",125 bài đánh giá,362285,"8,5","8,4","['Cách Bitexco Financial Tower 600 m', 'Nhận phòng [24 giờ]', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Điều hòa', 'Thang máy', 'Bãi để xe', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bàn tiếp tân [24 giờ]', 'Dịch vụ giặt là', 'Nhà hàng', 'Dịch vụ phòng', 'Két sắt', 'Wi-Fi ở nơi công cộng']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,THANH TAI HOTEL 2,"https://www.agoda.com/vi-vn/thanh-tai-hotel-2_2/hotel/all/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://q-xx.bstatic.com/xdata/images/hotel/840x460/352498344.jpg?k=6cb1394d2603c8eca5182b13de62f1433ebe65560e310b2737969a6bc44ff844&o=,"15A Phan Văn Hớn Street, Tân Thới Nhất Ward, District 12, Hồ Chí Minh City, Việt Nam, Quận 12, Hồ Chí Minh, Việt Nam",2 bài đánh giá,411764,"9,6","7,5","['Sạch bóng', 'Đáng tiền nhất', 'Bàn tiếp tân [24 giờ]', 'Chất lượng và tiện nghi phòng tuyệt vời', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bãi để xe', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bàn tiếp tân [24 giờ]', 'Dịch vụ phòng', 'Wi-Fi ở nơi công cộng', 'Internet services', 'Vườn', 'tiếng Anh']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,Khách Sạn Silverland Min (Silverland Min Hotel),"https://www.agoda.com/vi-vn/silverland-min-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3,16,-1&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/168995/-1/c2a2e6c27a44e56b559a49b653eddd18.jpg?ca=9&ce=1&s=1024x768,"81 Hai Bà Trưng, Quận 1 , Quận 1, Hồ Chí Minh, Việt Nam, 700000",384 bài đánh giá,592511,"8,4",9,"['Nằm ở trung tâm Hồ Chí Minh', 'Bàn tiếp tân [24 giờ]', 'Đưa đón sân bay', 'trong nội thành', 'Cách Saigon Opera House (Ho Chi Minh Municipal Theater) 210 m', 'Đưa đón sân bay', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Giữ hành lý', 'Bồn tắm nước nóng', 'Phòng tập', 'Dịch vụ giặt là']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,Liberty Central Saigon Citypoint Hotel,"https://www.agoda.com/vi-vn/liberty-central-saigon-citypoint-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/6945832/0/89e7dfe1fad5c4d9a63a1b530f04f826.jpg?ca=23&ce=0&s=1024x768,"59-61 Đường Pasteur, Quận 1, Quận 1, Hồ Chí Minh, Việt Nam, 70000",4.333 bài đánh giá,2036907,"8,9","9,4","['Sạch bóng', 'Nằm ở trung tâm Hồ Chí Minh', 'Nhận phòng [24 giờ]', 'Chất lượng và tiện nghi phòng tuyệt vời', 'Đưa đón sân bay', 'Đưa đón sân bay', 'Bãi để xe', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Nhận/trả phòng [nhanh]', 'Giữ hành lý']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,"Chung cư 110 m² 3 phòng ngủ, 2 phòng tắm riêng ở Bình Thạnh (3 Huge BedroomApartment at Landmark Plus, Vinhomes)","https://www.agoda.com/vi-vn/3-bedroom-apartment-beautiful-view-at-vcp-pickup/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/10239146/0/fe63f5af9e1b3cc0516c7af9501fc8dd.jpg?ca=9&ce=1&s=1024x768,"Bình Thạnh, Hồ Chí Minh, Việt Nam",7 bài đánh giá,2779113,"8,9","8,9","['Nhận phòng [24 giờ]', 'Điều hòa', 'Thang máy', 'Bể bơi riêng', 'Phòng tập', 'Nhận phòng [24 giờ]', 'Bể bơi [trong nhà]', 'Phòng tập', 'Chuông/liên lạc nội bộ không dây', 'Nhân viên trực cửa', 'Bếp', 'Thang máy', 'Phù hợp cho xe lăn']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,Atelier Thảo Điền (Atelier Thao Dien),"https://www.agoda.com/vi-vn/atelier-thao-dien/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/809/8097867/8097867_19061410310075802850.jpg?ca=9&ce=1&s=1024x768,"45 Nguyen Duy Hieu St, Thao Dien ward, Distric 2, HCMC, Quận 2, Hồ Chí Minh, Việt Nam, 700000",32 bài đánh giá,1138240,"7,7","8,3","['Nhận phòng [24 giờ]', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Dọn phòng hằng ngày', 'Bồn tắm nước nóng', 'Thang máy', 'Bãi để xe', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Bàn tiếp tân [24 giờ]', 'Giữ hành lý', 'Bồn tắm nước nóng', 'Phòng tập', 'Dịch vụ phòng [24 giờ]', 'Dịch vụ giặt là']",5 tháng 7 2022,6 tháng 7 2022
Hà Nội,Alagon Western Hotel,"https://www.agoda.com/vi-vn/alagon-western-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-07-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=5a0094dc-7b0a-479b-85ba-8549478c95ae
",https://pix8.agoda.net/hotelImages/181/181846/181846_15112417090037991186.jpg?ca=6&ce=1&s=1024x768,"30 Nguyen An Ninh, Phuong Ben Thanh, Quận 1, Hồ Chí Minh, Việt Nam",4.072 bài đánh giá,783215,8,9,"['Nằm ở trung tâm Hồ Chí Minh', 'Nhận phòng [24 giờ]', 'Đưa đón sân bay', 'Bữa sáng tuyệt vời', 'trong nội thành', 'Đưa đón sân bay', 'Dịch vụ đưa đón', 'Wi-Fi miễn phí trong tất cả các phòng!', 'Sân gôn [tại chỗ nghỉ]', 'Giữ hành lý', 'Bữa sáng [miễn phí]']",5 tháng 7 2022,6 tháng 7 2022
